Player,Country,Rating
"Aaberg, Anton",SWE,2383
"Aabling-Thomsen, Jakob",DEN,2108
"Aagaard, Jacob",DEN,2370
"Aage, Bjarke",DEN,2068
"Aakio, Seppo",FIN,2134
"Aalbersberg Kroon, Pedro",ESP,2165
"Aalders, Hendricus",ESP,2035
"Aarland, Stein Arild",NOR,2265
"Aaron, Manuel",IND,2315
"Aarons, Poppy J.",ENG,1884
"Ababneh, Faisal",JOR,1959
"Ababneh, Ghayth",JOR,2118
"Abad Sanmartin, Jorge",ESP,2120
"Abadie Romero, Jonathan",ECU,2039
"Abaev, Viktor",RUS,2125
"Abakarov, Alexander",UKR,2320
"Abalde Fernandez, Esteban",ESP,2181
"Abandah, Jamal",JOR,2058
"Abarca Aguirre, Manuel",CHI,2347
"Abarca del Rio, Francisco",FRA,2150
"Abarca, Diego",PER,2055
"Abarca, Ivan",CHI,2185
"Abashev, Alex",RUS,2337
"Abashev, Denis",RUS,2398
"Abatino, Maurizio",ITA,2224
"Abaturov, Alexander",RUS,2340
"Abatzidis, Stelios",GRE,2078
"Abay, Gokhan",TUR,2075
"Abayasekera, Roger",ENG,2210
"Abbas, B H",IRQ,2229
"Abbasi, Nasser M.",USA,2305
"Abbasi, Rania",SYR,2040
"Abbasifar, Hasan",IRI,2341
"Abbasov, Aris",AZE,2060
"Abbasov, Farid",AZE,2443
"Abbasova, Aiguioun",AZE,2170
"Abbink, Michel",NED,2259
"Abbou, Meriem",ALG,2005
"Abd El Fatah, Reda Fadel",EGY,2152
"Abd-Mariam, John N.T.",ENG,2160
"Abdagic, Edib",DEN,1991
"Abdallah, Feras",JOR,2107
"Abdallah, Mohamed",EGY,2115
"Abdein, Ahmed",EGY,2223
"Abdein, Saiied",EGY,2097
"Abdel Aziem, Ramadan",EGY,2302
"Abdel Aziz, Ahmed",EGY,2167
"Abdel Aziz, Ehab",EGY,2199
"Abdel Aziz, Mahmoud",EGY,2063
"Abdel Aziz, Shebab",EGY,2118
